,arrival,total,under_30,under_60,over_60,delay_time,delay_rate,cancel_rate,airline,id
0,BKI(코타키나발루),1151,94.7,0.17,5.13,90.0,5.3,0.0,에어서울,7S8YyShztj8hS
1,CTS(삿포로),283,97.88,0.0,2.12,90.0,2.12,0.0,에어서울,HL8gmjvXT38SW
2,CXR(깜라인(냐짱)),73,95.89,0.0,4.11,135.0,4.11,0.0,에어서울,WqUzXSsSQyVzK
3,DAD(다낭),753,92.3,0.4,7.3,85.0,7.7,0.0,에어서울,jENMirXosWUez
4,FSZ(시즈오카),650,96.15,0.0,3.85,124.0,3.85,0.0,에어서울,j3rVfVk8etHK8
5,FUK(후쿠오카),374,94.39,0.0,5.61,114.0,5.61,0.0,에어서울,3C6nV0Igms1hi
6,GUM(괌),917,95.95,0.11,3.94,89.0,4.14,0.33,에어서울,EJLnXGrfPDrVD
7,HAN(노이바이(하노이)),72,90.28,0.0,9.72,80.0,9.72,0.0,에어서울,fFLYu7d3jC6K4
8,HIJ(히로시마),632,96.84,0.32,2.85,121.0,3.16,0.0,에어서울,TCLhq705jFeRh
9,HKG(홍콩),838,89.01,0.48,10.51,87.0,10.98,0.12,에어서울,bzXHXhFDPoKEI
10,KIX(간사이),1937,91.41,0.47,8.12,90.0,8.57,0.21,에어서울,vnRxRGZFTR7ia
11,KLO(칼리보),507,93.08,0.79,6.13,87.0,6.9,0.2,에어서울,zSHrqfi6kz0yK
12,KMJ(구마모토),304,95.39,0.0,4.61,112.0,4.61,0.0,에어서울,nkIop4aAXtj8r
13,MFM(마카오),423,93.62,0.71,5.67,130.0,6.38,0.0,에어서울,CCEWZtTTeIhV0
14,NRT(나리타),1640,92.5,0.0,7.5,106.0,7.5,0.06,에어서울,fKUJJj15Yl8dt
15,OKA(오키나와),334,95.51,0.0,4.49,93.0,4.49,0.0,에어서울,WW78DLBzqxEF3
16,REP(씨엠립),792,95.08,0.25,4.67,106.0,4.92,0.0,에어서울,7jEwsEXrtfc9N
17,TAK(다카마쓰),860,96.5,0.12,3.39,126.0,3.49,0.47,에어서울,X09CU8zvtT9zq
18,TAO(청도),47,87.23,0.0,12.77,105.0,12.77,0.0,에어서울,bXAOypHfNforP
19,YGJ(요나고),619,94.51,0.16,5.33,103.0,5.49,0.0,에어서울,OhzvT0kuoQC81
20,YNT(연태),58,96.49,0.0,3.51,78.0,3.45,1.72,에어서울,GfSMIMvEieAgs
