,arrival,total,under_30,under_60,over_60,delay_time,delay_rate,cancel_rate,airline,id
0,BKI(코타키나발루),46,93.48,0.0,6.52,6.0,6.52,0.0,티웨이항공,NBMFgGo1qHYOZ
1,BKK(수완나품(방콕)),1159,80.24,0.35,19.41,18.0,19.76,0.0,티웨이항공,JfUFNotw0STdf
2,CEB(세부),2,100.0,0.0,0.0,0.0,0.0,0.0,티웨이항공,lb224fLTfwJyL
3,CNX(치앙마이),115,94.78,0.0,5.22,6.0,5.22,0.0,티웨이항공,HQloyCqeSHkST
4,CRK(클라크 국제공항),175,92.0,0.57,7.43,8.0,8.0,0.0,티웨이항공,baUnKDmSM7ymV
5,CTS(삿포로),1006,92.22,0.4,7.38,9.0,7.75,0.3,티웨이항공,xJBIoos04Nrdr
6,CXR(깜라인(냐짱)),435,97.93,0.69,1.38,2.0,2.07,0.0,티웨이항공,HE7L2PaOI0eyu
7,DAD(다낭),2067,91.63,0.24,8.13,9.0,8.37,0.0,티웨이항공,FC1N1z3LfTafm
8,FUK(후쿠오카),2434,95.19,0.12,4.69,5.0,4.81,0.16,티웨이항공,s0dKRgrOqEFyl
9,GUM(괌),1272,91.88,0.32,7.81,8.0,8.1,0.31,티웨이항공,nL3Q0igz6mhsE
10,HAK(하이커우),47,97.87,0.0,2.13,2.0,2.13,0.0,티웨이항공,A9xfnZIsQ0OFN
11,HAN(노이바이(하노이)),428,92.76,0.0,7.24,6.0,7.24,0.0,티웨이항공,iGoYqziP2x8Q1
12,HKG(홍콩),87,82.56,0.0,17.44,14.0,17.24,1.15,티웨이항공,02LFmX1ra3ztP
13,HKT(푸켓),129,94.57,0.0,5.43,5.0,5.43,0.0,티웨이항공,c5tL765ijsNab
14,HSG(사가),992,93.23,0.2,6.57,7.0,6.75,0.3,티웨이항공,5d0OFtbjZ6WAi
15,KHH(가오슝),439,96.36,0.23,3.42,5.0,3.64,0.0,티웨이항공,avggf5KunGx0U
16,KIX(간사이),2995,93.55,0.13,6.32,7.0,6.44,0.1,티웨이항공,6agcfAncIQQko
17,KKJ(기타큐슈),2,100.0,0.0,0.0,0.0,0.0,0.0,티웨이항공,S9vwk4IpxUew6
18,KLO(칼리보),149,92.62,0.67,6.71,8.0,7.38,0.0,티웨이항공,MD41z8AEkZt3l
19,KMJ(구마모토),564,94.14,0.0,5.86,7.0,5.85,0.18,티웨이항공,91ahzimfqoQZT
20,KOJ(가고시마),60,77.97,0.0,22.03,21.0,21.67,1.67,티웨이항공,VESIhTqGunPLG
21,MFM(마카오),861,85.71,0.58,13.7,13.0,14.29,0.0,티웨이항공,e4kNchjAzjeg4
22,NGO(나고야),700,94.84,0.0,5.16,5.0,5.14,0.29,티웨이항공,PbxgCVEtCheqz
23,NRT(나리타),2329,91.24,0.21,8.54,9.0,8.76,0.0,티웨이항공,UM76YREu9JwmD
24,OIT(오이타),920,94.78,0.22,5.01,6.0,5.22,0.11,티웨이항공,ZTeYfgcAoe3B4
25,OKA(오키나와),1077,92.26,0.19,7.55,8.0,7.71,0.37,티웨이항공,ozu70QivhgyPc
26,PUS(김해),1,0.0,0.0,100.0,94.0,100.0,0.0,티웨이항공,XuaZ5b5BjIqtS
27,RMQ(타이중),528,94.51,0.19,5.3,7.0,5.49,0.0,티웨이항공,xzY9CR9ZSii8n
28,SGN(떤선녓(호치민)),1111,79.39,1.17,19.44,19.0,20.61,0.0,티웨이항공,XDeXfdGynKeyU
29,SHE(심양),46,95.65,0.0,4.35,3.0,4.35,0.0,티웨이항공,PtibUCHnNhAjr
30,SPN(사이판),1035,93.39,0.19,6.41,7.0,6.57,0.58,티웨이항공,ouhthNcYZQddW
31,SYX(싼야),305,83.28,0.0,16.72,13.0,16.72,0.0,티웨이항공,SKKKxG73qCKtz
32,TAE(대구),6,83.33,0.0,16.67,10.0,16.67,0.0,티웨이항공,tdf99veR49krx
33,TAO(청도),290,90.34,0.34,9.31,11.0,9.66,0.0,티웨이항공,NLqNAkZ9gX28m
34,TNA(지난),168,86.9,0.6,12.5,13.0,13.1,0.0,티웨이항공,KAn2Gfq55v98M
35,VTE(비엔티안),1101,92.1,0.0,7.9,9.0,7.99,0.0,티웨이항공,8YUteDKerPvII
36,VVO(블라디보스톡),47,93.62,0.0,6.38,7.0,6.38,0.0,티웨이항공,swdfBR8ZTihCU
37,WUH(우한),51,98.0,0.0,2.0,2.0,1.96,1.96,티웨이항공,scFrsBtGSEvwS
